
NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
EWS TURBO      	2024-08-22	21:19:34	tidak terbaca	x5HsXqYWiJ+x8uf+NFcYAA==        
B 2123 YJ      	2024-08-22	21:19:36	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-22	21:19:36	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
B 1882 SEO     	2024-08-22	21:21:36	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 2123 YJ      	2024-08-22	21:23:45	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
B 1609 PDM     	2024-08-22	21:29:37	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1609 PDN     	2024-08-22	21:29:38	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 1609 PDM     	2024-08-22	21:29:39	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1669 PDM     	2024-08-22	21:29:40	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1669 PDM     	2024-08-22	21:29:42	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1505 ZFX     	2024-08-22	21:29:43	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:29:44	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 2526 KMB     	2024-08-22	21:29:45	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-22	21:29:46	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 1095 LKU     	2024-08-22	21:29:47	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-22	21:29:48	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 2123 YJ      	2024-08-22	21:29:49	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-22	21:29:50	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-22	21:29:51	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
L 1373 LN      	2024-08-22	21:29:52	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-22	21:29:54	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-22	21:29:55	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
1B 1882 SEO    	2024-08-22	21:29:56	genap       	aJOZeVXPm3VDRF+4DJvtMw==        
B 1882 SEO     	2024-08-22	21:29:59	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
