Tanggal        	Waktu          	NoPlat    	Enkripsi                                          	Decode                                            	Waktu Dekripsi (ms) 
2024-08-22     	21:18:34       	Gata           	sSBG3Il3BZ+0Z7jVUJZPFA==                          	Gata                                              	0.027               
2024-08-22     	21:18:35       	pees           	nHuZGWgW2VsRnptDrJYlDQ==                          	pees                                              	0.027               
2024-08-22     	21:18:36       	B 2123 VJ      	i/gY8cCyikbzyxlH1YFHZw==                          	B 2123 VJ                                         	0.026               
2024-08-22     	21:18:36       	B 2123 Yj      	zBZAEe6RPhDMqkVetzqNdg==                          	B 2123 Yj                                         	0.026               
2024-08-22     	21:18:38       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.027               
2024-08-22     	21:18:56       	5 1082 Se      	utF3euOY0H85ndISa4jC+A==                          	5 1082 Se                                         	0.026               
2024-08-22     	21:18:57       	1082 SEO       	baMF/z2r3DOmEaepjalCwA==                          	1082 SEO                                          	0.027               
2024-08-22     	21:18:59       	gq 71962 SEO   	H44+gPjPbRbud9JDNbh09w==                          	gq 71962 SEO                                      	0.027               
2024-08-22     	21:19:03       	8 AAD FN B 1082 SED	oRm62oTR7zLR66BddrosvyQi7THzh2CHFpyy+jYOGNM=      	8 AAD FN B 1082 SED                               	0.027               
2024-08-22     	21:19:04       	18 1882 SEO    	pJtbrRHTkhVr7s41KBTUEw==                          	18 1882 SEO                                       	0.026               
2024-08-22     	21:19:13       	y 1882 SEO     	b5cKwCswg5kSsOkvwFxM6g==                          	y 1882 SEO                                        	0.019               
2024-08-22     	21:19:16       	B 1902 SEO     	zyOsyxidHubqZSMuTx6fZg==                          	B 1902 SEO                                        	0.019               
2024-08-22     	21:19:19       	fp 1682 SEO    	BSAKu9Z62uC7nYWUTbHnzg==                          	fp 1682 SEO                                       	0.019               
2024-08-22     	21:19:22       	P 7123 J       	HQMVlVdMH1+j54d7jqDCqQ==                          	P 7123 J                                          	0.019               
2024-08-22     	21:19:24       	Gy             	kpHuzPvpmcMzgmRoKFaoOw==                          	Gy                                                	0.019               
2024-08-22     	21:19:27       	Geita          	ubNx5dBBvFg3gwh9qdnX+A==                          	Geita                                             	0.016               
2024-08-22     	21:19:29       	B 2123 VJ      	i/gY8cCyikbzyxlH1YFHZw==                          	B 2123 VJ                                         	0.016               
2024-08-22     	21:19:32       	B 2123 VJ a    	hNvwE1VmvhhL3BjsIcFnzQ==                          	B 2123 VJ a                                       	0.016               
2024-08-22     	21:19:33       	B 2123 VJ ae   	KilnGp8Jmh7pQ5fF0/MJdg==                          	B 2123 VJ ae                                      	0.016               
2024-08-22     	21:19:34       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.016               
2024-08-22     	21:19:34       	8 2123 YJ      	zULrmb1+LJxgoBWIViKoVg==                          	8 2123 YJ                                         	0.016               
2024-08-22     	21:19:34       	EWS TURBO      	x5HsXqYWiJ+x8uf+NFcYAA==                          	EWS TURBO                                         	0.016               
2024-08-22     	21:19:36       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.016               
2024-08-22     	21:19:36       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.016               
2024-08-22     	21:21:36       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.016               
2024-08-22     	21:23:45       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.013               
2024-08-22     	21:29:37       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	0.028               
2024-08-22     	21:29:38       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.018               
2024-08-22     	21:29:39       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	0.016               
2024-08-22     	21:29:40       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.016               
2024-08-22     	21:29:42       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.017               
